id,scanId,timestamp,sampleIndex,latitude,longitude,gpsAccuracy,altitude,speed,technology,mcc,mnc,plmn,connectionStatus,cid,lac,tac,pci,enb,rnc,bsic,nci,rssi,rsrp,rsrq,sinr,cqi,rscp,ecno,ssRsrp,ssRsrq,ssSinr,timingAdvance,arfcn,bandwidth,bandName
28446,11,1779552017035,0,,,,,,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-99,-99.0,-15.0,-12.0,,,,,,,,3350,,2600
28447,11,1779552017035,0,,,,,,LTE,262,3,262-03,NONE,,,,272,,,,,-101,-101.0,-16.0,,,,,,,,,1600,,1800
28448,11,1779552017035,0,,,,,,LTE,262,3,262-03,NONE,,,,99,,,,,-105,-104.0,-19.0,,,,,,,,,3350,,2600
28449,11,1779552017035,0,,,,,,LTE,262,3,262-03,NONE,,,,271,,,,,-105,-105.0,-19.0,,,,,,,,,1600,,1800
28450,11,1779552017035,0,,,,,,LTE,262,3,262-03,NONE,,,,429,,,,,-105,-105.0,-20.0,,,,,,,,,1600,,1800
28451,11,1779552017035,0,,,,,,LTE,262,3,262-03,NONE,,,,186,,,,,-107,-106.0,,,,,,,,,,3350,,2600
28452,11,1779552017035,0,,,,,,LTE,262,3,262-03,NONE,,,,431,,,,,-107,-106.0,-20.0,,,,,,,,,1600,,1800
28453,11,1779552017035,0,,,,,,LTE,262,3,262-03,NONE,,,,355,,,,,-107,-107.0,-20.0,,,,,,,,,1600,,1800
28454,11,1779552019283,1,51.2366204,6.7702919,4.9,83.19999694824219,0.017166704,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-97,-96.0,-15.0,-12.0,,,,,,,,3350,,2600
28455,11,1779552019283,1,51.2366204,6.7702919,4.9,83.19999694824219,0.017166704,LTE,262,3,262-03,NONE,,,,272,,,,,-99,-98.0,-14.0,,,,,,,,,1600,,1800
28456,11,1779552019283,1,51.2366204,6.7702919,4.9,83.19999694824219,0.017166704,LTE,262,3,262-03,NONE,,,,99,,,,,-101,-101.0,-20.0,,,,,,,,,3350,,2600
28457,11,1779552019283,1,51.2366204,6.7702919,4.9,83.19999694824219,0.017166704,LTE,262,3,262-03,NONE,,,,186,,,,,-103,-103.0,-20.0,,,,,,,,,3350,,2600
28458,11,1779552019283,1,51.2366204,6.7702919,4.9,83.19999694824219,0.017166704,LTE,262,3,262-03,NONE,,,,328,,,,,-103,-103.0,-20.0,,,,,,,,,3350,,2600
28459,11,1779552019283,1,51.2366204,6.7702919,4.9,83.19999694824219,0.017166704,LTE,262,3,262-03,NONE,,,,491,,,,,-107,-106.0,,,,,,,,,,3350,,2600
28460,11,1779552019283,1,51.2366204,6.7702919,4.9,83.19999694824219,0.017166704,LTE,262,3,262-03,NONE,,,,431,,,,,-107,-106.0,-20.0,,,,,,,,,1600,,1800
28461,11,1779552019283,1,51.2366204,6.7702919,4.9,83.19999694824219,0.017166704,LTE,262,3,262-03,NONE,,,,355,,,,,-107,-107.0,,,,,,,,,,1600,,1800
28462,11,1779552021511,2,51.2366208,6.7702896,5.209,84.19999694824219,0.005000294,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-105,-105.0,-17.0,-12.0,,,,,,,,3350,,2600
28463,11,1779552021511,2,51.2366208,6.7702896,5.209,84.19999694824219,0.005000294,LTE,262,3,262-03,NONE,,,,272,,,,,-103,-103.0,-17.0,,,,,,,,,1600,,1800
28464,11,1779552021511,2,51.2366208,6.7702896,5.209,84.19999694824219,0.005000294,LTE,262,3,262-03,NONE,,,,339,,,,,-105,-104.0,-19.0,,,,,,,,,1600,,1800
28465,11,1779552021511,2,51.2366208,6.7702896,5.209,84.19999694824219,0.005000294,LTE,262,3,262-03,NONE,,,,355,,,,,-107,-107.0,-20.0,,,,,,,,,1600,,1800
28466,11,1779552021511,2,51.2366208,6.7702896,5.209,84.19999694824219,0.005000294,LTE,262,3,262-03,NONE,,,,99,,,,,-109,-108.0,-20.0,,,,,,,,,3350,,2600
28467,11,1779552021511,2,51.2366208,6.7702896,5.209,84.19999694824219,0.005000294,LTE,262,3,262-03,NONE,,,,186,,,,,-113,-112.0,-19.0,,,,,,,,,3350,,2600
28468,11,1779552021511,2,51.2366208,6.7702896,5.209,84.19999694824219,0.005000294,LTE,262,3,262-03,NONE,,,,491,,,,,-113,-113.0,,,,,,,,,,3350,,2600
28469,11,1779552023760,3,51.236621,6.7702896,4.996,84.19999694824219,8.3583274E-10,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-103,-102.0,-15.0,-3.0,,,,,,,,3350,,2600
28470,11,1779552023760,3,51.236621,6.7702896,4.996,84.19999694824219,8.3583274E-10,LTE,262,3,262-03,NONE,,,,272,,,,,-95,-94.0,-13.0,,,,,,,,,1600,,1800
28471,11,1779552023760,3,51.236621,6.7702896,4.996,84.19999694824219,8.3583274E-10,LTE,262,3,262-03,NONE,,,,355,,,,,-101,-101.0,-19.0,,,,,,,,,1600,,1800
28472,11,1779552023760,3,51.236621,6.7702896,4.996,84.19999694824219,8.3583274E-10,LTE,262,3,262-03,NONE,,,,339,,,,,-101,-101.0,-18.0,,,,,,,,,1600,,1800
28473,11,1779552023760,3,51.236621,6.7702896,4.996,84.19999694824219,8.3583274E-10,LTE,262,3,262-03,NONE,,,,99,,,,,-107,-106.0,-20.0,,,,,,,,,3350,,2600
28474,11,1779552023760,3,51.236621,6.7702896,4.996,84.19999694824219,8.3583274E-10,LTE,262,3,262-03,NONE,,,,491,,,,,-109,-109.0,,,,,,,,,,3350,,2600
28475,11,1779552023760,3,51.236621,6.7702896,4.996,84.19999694824219,8.3583274E-10,LTE,262,3,262-03,NONE,,,,186,,,,,-111,-110.0,-20.0,,,,,,,,,3350,,2600
28476,11,1779552026005,4,51.2366217,6.7702921,5.846,84.0,0.00650753,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-101,-100.0,-16.0,-3.0,,,,,,,,3350,,2600
28477,11,1779552026005,4,51.2366217,6.7702921,5.846,84.0,0.00650753,LTE,262,3,262-03,NONE,,,,272,,,,,-95,-94.0,-13.0,,,,,,,,,1600,,1800
28478,11,1779552026005,4,51.2366217,6.7702921,5.846,84.0,0.00650753,LTE,262,3,262-03,NONE,,,,355,,,,,-101,-101.0,-20.0,,,,,,,,,1600,,1800
28479,11,1779552026005,4,51.2366217,6.7702921,5.846,84.0,0.00650753,LTE,262,3,262-03,NONE,,,,328,,,,,-103,-103.0,-20.0,,,,,,,,,3350,,2600
