id,scanId,timestamp,sampleIndex,latitude,longitude,gpsAccuracy,altitude,speed,technology,mcc,mnc,plmn,connectionStatus,cid,lac,tac,pci,enb,rnc,bsic,nci,rssi,rsrp,rsrq,sinr,cqi,rscp,ecno,ssRsrp,ssRsrq,ssSinr,timingAdvance,arfcn,bandwidth,bandName
46360,17,1782045094087,0,,,,,,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-103,-103.0,-13.0,3.0,,,,,,,,3350,,2600
46361,17,1782045094087,0,,,,,,LTE,262,3,262-03,NONE,,,,99,,,,,-109,-108.0,-17.0,,,,,,,,,3350,,2600
46362,17,1782045094087,0,,,,,,LTE,262,3,262-03,NONE,,,,186,,,,,-113,-112.0,-18.0,,,,,,,,,3350,,2600
46363,17,1782045094087,0,,,,,,LTE,262,3,262-03,NONE,,,,491,,,,,-113,-114.0,-20.0,,,,,,,,,3350,,2600
46364,17,1782045096323,1,,,,,,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-103,-102.0,-16.0,3.0,,,,,,,,3350,,2600
46365,17,1782045096323,1,,,,,,LTE,262,3,262-03,NONE,,,,99,,,,,-111,-111.0,-17.0,,,,,,,,,3350,,2600
46366,17,1782045096323,1,,,,,,LTE,262,3,262-03,NONE,,,,186,,,,,-113,-114.0,-17.0,,,,,,,,,3350,,2600
46367,17,1782045096323,1,,,,,,LTE,262,3,262-03,NONE,,,,491,,,,,-113,-116.0,-19.0,,,,,,,,,3350,,2600
46368,17,1782045098611,2,,,,,,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-107,-106.0,-12.0,3.0,,,,,,,,3350,,2600
46369,17,1782045098611,2,,,,,,LTE,262,3,262-03,NONE,,,,99,,,,,-109,-109.0,-17.0,,,,,,,,,3350,,2600
46370,17,1782045098611,2,,,,,,LTE,262,3,262-03,NONE,,,,186,,,,,-113,-112.0,-20.0,,,,,,,,,3350,,2600
46371,17,1782045098611,2,,,,,,LTE,262,3,262-03,NONE,,,,491,,,,,-113,-112.0,-20.0,,,,,,,,,3350,,2600
46372,17,1782045100812,3,51.2364348,6.7702011,19.0,89.0,0.014528715,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-103,-103.0,-11.0,3.0,,,,,,,,3350,,2600
46373,17,1782045100812,3,51.2364348,6.7702011,19.0,89.0,0.014528715,LTE,262,3,262-03,NONE,,,,99,,,,,-109,-109.0,-17.0,,,,,,,,,3350,,2600
46374,17,1782045100812,3,51.2364348,6.7702011,19.0,89.0,0.014528715,LTE,262,3,262-03,NONE,,,,491,,,,,-113,-112.0,-20.0,,,,,,,,,3350,,2600
46375,17,1782045100812,3,51.2364348,6.7702011,19.0,89.0,0.014528715,LTE,262,3,262-03,NONE,,,,186,,,,,-113,-114.0,-19.0,,,,,,,,,3350,,2600
46376,17,1782045103081,4,51.2363937,6.7702028,18.092,85.5,0.20734863,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-103,-102.0,-13.0,3.0,,,,,,,,3350,,2600
46377,17,1782045103081,4,51.2363937,6.7702028,18.092,85.5,0.20734863,LTE,262,3,262-03,NONE,,,,186,,,,,-109,-109.0,-20.0,,,,,,,,,3350,,2600
46378,17,1782045103081,4,51.2363937,6.7702028,18.092,85.5,0.20734863,LTE,262,3,262-03,NONE,,,,99,,,,,-109,-109.0,-19.0,,,,,,,,,3350,,2600
46379,17,1782045103081,4,51.2363937,6.7702028,18.092,85.5,0.20734863,LTE,262,3,262-03,NONE,,,,491,,,,,-113,-116.0,-20.0,,,,,,,,,3350,,2600
