id,scanId,timestamp,sampleIndex,latitude,longitude,gpsAccuracy,altitude,speed,technology,mcc,mnc,plmn,connectionStatus,cid,lac,tac,pci,enb,rnc,bsic,nci,rssi,rsrp,rsrq,sinr,cqi,rscp,ecno,ssRsrp,ssRsrq,ssSinr,timingAdvance,arfcn,bandwidth,bandName
43652,16,1782037213932,0,,,,,,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-111,-110.0,-14.0,-3.0,,,,,,,,3350,,2600
43653,16,1782037213932,0,,,,,,LTE,262,3,262-03,NONE,,,,328,,,,,-111,-111.0,-14.0,,,,,,,,,3350,,2600
43654,16,1782037213932,0,,,,,,LTE,262,3,262-03,NONE,,,,99,,,,,-113,-114.0,-18.0,,,,,,,,,3350,,2600
43655,16,1782037213932,0,,,,,,LTE,262,3,262-03,NONE,,,,491,,,,,-113,-115.0,-18.0,,,,,,,,,3350,,2600
43656,16,1782037213932,0,,,,,,LTE,262,3,262-03,NONE,,,,237,,,,,-113,-117.0,-20.0,,,,,,,,,3350,,2600
43657,16,1782037213932,0,,,,,,LTE,262,3,262-03,NONE,,,,186,,,,,-113,-124.0,,,,,,,,,,3350,,2600
43658,16,1782037216180,1,,,,,,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-109,-108.0,-13.0,-7.0,,,,,,,,3350,,2600
43659,16,1782037216180,1,,,,,,LTE,262,3,262-03,NONE,,,,99,,,,,-109,-109.0,-15.0,,,,,,,,,3350,,2600
43660,16,1782037216180,1,,,,,,LTE,262,3,262-03,NONE,,,,328,,,,,-111,-110.0,-17.0,,,,,,,,,3350,,2600
43661,16,1782037216180,1,,,,,,LTE,262,3,262-03,NONE,,,,491,,,,,-111,-110.0,-17.0,,,,,,,,,3350,,2600
43662,16,1782037218482,2,51.2369537,6.7702818,19.0,80.5999984741211,0.2344854,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-105,-104.0,-10.0,-7.0,,,,,,,,3350,,2600
43663,16,1782037218482,2,51.2369537,6.7702818,19.0,80.5999984741211,0.2344854,LTE,262,3,262-03,NONE,,,,99,,,,,-107,-107.0,-14.0,,,,,,,,,3350,,2600
43664,16,1782037218482,2,51.2369537,6.7702818,19.0,80.5999984741211,0.2344854,LTE,262,3,262-03,NONE,,,,491,,,,,-113,-112.0,-17.0,,,,,,,,,3350,,2600
43665,16,1782037218482,2,51.2369537,6.7702818,19.0,80.5999984741211,0.2344854,LTE,262,3,262-03,NONE,,,,186,,,,,-113,-113.0,-19.0,,,,,,,,,3350,,2600
43666,16,1782037220805,3,51.2369303,6.7701365,16.14,80.5999984741211,0.16038948,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-101,-101.0,-10.0,-7.0,,,,,,,,3350,,2600
43667,16,1782037220805,3,51.2369303,6.7701365,16.14,80.5999984741211,0.16038948,LTE,262,3,262-03,NONE,,,,99,,,,,-105,-105.0,-15.0,,,,,,,,,3350,,2600
43668,16,1782037220805,3,51.2369303,6.7701365,16.14,80.5999984741211,0.16038948,LTE,262,3,262-03,NONE,,,,328,,,,,-109,-109.0,-16.0,,,,,,,,,3350,,2600
43669,16,1782037220805,3,51.2369303,6.7701365,16.14,80.5999984741211,0.16038948,LTE,262,3,262-03,NONE,,,,491,,,,,-111,-110.0,-18.0,,,,,,,,,3350,,2600
43670,16,1782037220805,3,51.2369303,6.7701365,16.14,80.5999984741211,0.16038948,LTE,262,3,262-03,NONE,,,,237,,,,,-111,-111.0,-20.0,,,,,,,,,3350,,2600
43671,16,1782037220805,3,51.2369303,6.7701365,16.14,80.5999984741211,0.16038948,LTE,262,3,262-03,NONE,,,,186,,,,,-113,-112.0,-20.0,,,,,,,,,3350,,2600
43672,16,1782037223037,4,51.2369291,6.7701218,10.42,80.5999984741211,0.05093394,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-107,-106.0,-12.0,-7.0,,,,,,,,3350,,2600
43673,16,1782037223037,4,51.2369291,6.7701218,10.42,80.5999984741211,0.05093394,LTE,262,3,262-03,NONE,,,,328,,,,,-109,-109.0,-14.0,,,,,,,,,3350,,2600
43674,16,1782037223037,4,51.2369291,6.7701218,10.42,80.5999984741211,0.05093394,LTE,262,3,262-03,NONE,,,,99,,,,,-111,-110.0,-17.0,,,,,,,,,3350,,2600
43675,16,1782037223037,4,51.2369291,6.7701218,10.42,80.5999984741211,0.05093394,LTE,262,3,262-03,NONE,,,,186,,,,,-111,-110.0,-16.0,,,,,,,,,3350,,2600
43676,16,1782037223037,4,51.2369291,6.7701218,10.42,80.5999984741211,0.05093394,LTE,262,3,262-03,NONE,,,,491,,,,,-113,-112.0,-17.0,,,,,,,,,3350,,2600
43677,16,1782037225288,5,51.2369305,6.7701227,6.511,80.5999984741211,0.51203233,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-103,-103.0,-11.0,-7.0,,,,,,,,3350,,2600
43678,16,1782037225288,5,51.2369305,6.7701227,6.511,80.5999984741211,0.51203233,LTE,262,3,262-03,NONE,,,,328,,,,,-111,-110.0,-18.0,,,,,,,,,3350,,2600
43679,16,1782037225288,5,51.2369305,6.7701227,6.511,80.5999984741211,0.51203233,LTE,262,3,262-03,NONE,,,,186,,,,,-113,-113.0,-19.0,,,,,,,,,3350,,2600
43680,16,1782037225288,5,51.2369305,6.7701227,6.511,80.5999984741211,0.51203233,LTE,262,3,262-03,NONE,,,,491,,,,,-113,-113.0,-20.0,,,,,,,,,3350,,2600
43681,16,1782037225288,5,51.2369305,6.7701227,6.511,80.5999984741211,0.51203233,LTE,262,3,262-03,NONE,,,,99,,,,,-113,-128.0,,,,,,,,,,3350,,2600
43682,16,1782037227604,6,51.2369106,6.7701216,4.573,80.5999984741211,0.8663116,LTE,262,3,262-03,PRIMARY,16036111,,36022,101,62641,,,,-107,-106.0,-13.0,-7.0,,,,,,,,3350,,2600
