id,scanId,timestamp,sampleIndex,latitude,longitude,gpsAccuracy,altitude,speed,technology,mcc,mnc,plmn,connectionStatus,cid,lac,tac,pci,enb,rnc,bsic,nci,rssi,rsrp,rsrq,sinr,cqi,rscp,ecno,ssRsrp,ssRsrq,ssSinr,timingAdvance,arfcn,bandwidth,bandName
53138,16,1782045094491,0,,,,,,LTE,262,1,262-01,PRIMARY,26480641,,13601,196,103440,,,,-109,-109.0,-17.0,-4.0,6,,,,,,0,1300,20000,1800
53139,16,1782045094491,0,,,,,,LTE,262,1,262-01,NONE,,,,339,,,,,,-108.0,-17.0,,,,,,,,0,1300,,1800
53140,16,1782045094491,0,,,,,,LTE,262,1,262-01,NONE,,,,25,,,,,,-113.0,,,,,,,,,0,1300,,1800
53141,16,1782045094491,0,,,,,,NR,262,1,262-01,NONE,,,,921,,,,,,,,,,,,-107.0,-15.0,-1.0,,641760,,3600
53142,16,1782045094491,0,,,,,,NR,262,1,262-01,NONE,,,,524,,,,,,,,,,,,-108.0,-19.0,-7.0,,641760,,3600
53143,16,1782045094491,0,,,,,,NR,262,1,262-01,NONE,,,,200,,,,,,,,,,,,-108.0,-19.0,-7.0,,641760,,3600
53144,16,1782045094491,0,,,,,,NR,262,1,262-01,NONE,,,,984,,,,,,,,,,,,-110.0,-14.0,0.0,,641760,,3600
53145,16,1782045094491,0,,,,,,NR,262,1,262-01,SECONDARY,,,,25,,,,,,-140.0,-20.0,,,,,-98.0,-12.0,10.0,,641760,,3600
53146,16,1782045096729,1,,,,,,LTE,262,1,262-01,PRIMARY,26480641,,13601,196,103440,,,,-107,-106.0,-15.0,-6.0,8,,,,,,0,1300,20000,1800
53147,16,1782045096729,1,,,,,,LTE,262,1,262-01,NONE,,,,357,,,,,,-107.0,-18.0,,,,,,,,0,1300,,1800
53148,16,1782045096729,1,,,,,,LTE,262,1,262-01,NONE,,,,407,,,,,,-111.0,,,,,,,,,0,1300,,1800
53149,16,1782045096729,1,,,,,,LTE,262,1,262-01,NONE,,,,339,,,,,,-111.0,-20.0,,,,,,,,0,1300,,1800
53150,16,1782045096729,1,,,,,,LTE,262,1,262-01,NONE,,,,323,,,,,,-109.0,-18.0,,,,,,,,0,3749,,900
53151,16,1782045096729,1,,,,,,LTE,262,1,262-01,NONE,,,,327,,,,,,-110.0,-20.0,,,,,,,,0,3749,,900
53152,16,1782045096729,1,,,,,,NR,262,1,262-01,NONE,,,,921,,,,,,,,,,,,-106.0,-14.0,0.0,,641760,,3600
53153,16,1782045096729,1,,,,,,NR,262,1,262-01,NONE,,,,57,,,,,,,,,,,,-106.0,-16.0,-3.0,,641760,,3600
53154,16,1782045096729,1,,,,,,NR,262,1,262-01,NONE,,,,397,,,,,,,,,,,,-109.0,-15.0,-1.0,,641760,,3600
53155,16,1782045096729,1,,,,,,NR,262,1,262-01,NONE,,,,255,,,,,,,,,,,,-110.0,-17.0,-5.0,,641760,,3600
53156,16,1782045096729,1,,,,,,NR,262,1,262-01,SECONDARY,,,,25,,,,,,-140.0,-20.0,,,,,-101.0,-12.0,6.0,,641760,,3600
53157,16,1782045098997,2,51.2364946,6.7703856,8.5,93.0,0.19999999,LTE,262,1,262-01,PRIMARY,26480641,,13601,196,103440,,,,-107,-107.0,-16.0,-6.0,7,,,,,,0,1300,20000,1800
53158,16,1782045098997,2,51.2364946,6.7703856,8.5,93.0,0.19999999,LTE,262,1,262-01,NONE,,,,357,,,,,,-105.0,-16.0,,,,,,,,0,1300,,1800
53159,16,1782045098997,2,51.2364946,6.7703856,8.5,93.0,0.19999999,LTE,262,1,262-01,NONE,,,,339,,,,,,-110.0,-20.0,,,,,,,,0,1300,,1800
53160,16,1782045098997,2,51.2364946,6.7703856,8.5,93.0,0.19999999,LTE,262,1,262-01,NONE,,,,430,,,,,,-112.0,,,,,,,,,0,1300,,1800
53161,16,1782045098997,2,51.2364946,6.7703856,8.5,93.0,0.19999999,LTE,262,1,262-01,NONE,,,,192,,,,,,-109.0,-16.0,,,,,,,,0,3749,,900
53162,16,1782045098997,2,51.2364946,6.7703856,8.5,93.0,0.19999999,LTE,262,1,262-01,NONE,,,,312,,,,,,-111.0,-20.0,,,,,,,,0,3749,,900
53163,16,1782045098997,2,51.2364946,6.7703856,8.5,93.0,0.19999999,NR,262,1,262-01,NONE,,,,397,,,,,,,,,,,,-109.0,-14.0,0.0,,641760,,3600
53164,16,1782045098997,2,51.2364946,6.7703856,8.5,93.0,0.19999999,NR,262,1,262-01,NONE,,,,961,,,,,,,,,,,,-109.0,-15.0,-2.0,,641760,,3600
53165,16,1782045098997,2,51.2364946,6.7703856,8.5,93.0,0.19999999,NR,262,1,262-01,NONE,,,,524,,,,,,,,,,,,-110.0,-17.0,-3.0,,641760,,3600
53166,16,1782045098997,2,51.2364946,6.7703856,8.5,93.0,0.19999999,NR,262,1,262-01,SECONDARY,,,,25,,,,,,-140.0,-20.0,,,,,-101.0,-12.0,6.0,,641760,,3600
53167,16,1782045101175,3,51.2365918,6.7703316,6.833,87.0,0.044420328,LTE,262,1,262-01,PRIMARY,26480641,,13601,196,103440,,,,-107,-107.0,-18.0,-6.0,8,,,,,,0,1300,20000,1800
53168,16,1782045101175,3,51.2365918,6.7703316,6.833,87.0,0.044420328,LTE,262,1,262-01,NONE,,,,357,,,,,,-105.0,-17.0,,,,,,,,0,1300,,1800
53169,16,1782045101175,3,51.2365918,6.7703316,6.833,87.0,0.044420328,LTE,262,1,262-01,NONE,,,,339,,,,,,-111.0,,,,,,,,,0,1300,,1800
53170,16,1782045101175,3,51.2365918,6.7703316,6.833,87.0,0.044420328,LTE,262,1,262-01,NONE,,,,25,,,,,,-112.0,,,,,,,,,0,1300,,1800
53171,16,1782045101175,3,51.2365918,6.7703316,6.833,87.0,0.044420328,LTE,262,1,262-01,NONE,,,,312,,,,,,-108.0,-19.0,,,,,,,,0,3749,,900
53172,16,1782045101175,3,51.2365918,6.7703316,6.833,87.0,0.044420328,LTE,262,1,262-01,NONE,,,,323,,,,,,-108.0,-18.0,,,,,,,,0,3749,,900
53173,16,1782045101175,3,51.2365918,6.7703316,6.833,87.0,0.044420328,NR,262,1,262-01,NONE,,,,524,,,,,,,,,,,,-110.0,-19.0,-7.0,,641760,,3600
53174,16,1782045101175,3,51.2365918,6.7703316,6.833,87.0,0.044420328,NR,262,1,262-01,NONE,,,,921,,,,,,,,,,,,-110.0,-17.0,-5.0,,641760,,3600
53175,16,1782045101175,3,51.2365918,6.7703316,6.833,87.0,0.044420328,NR,262,1,262-01,NONE,,,,961,,,,,,,,,,,,-110.0,-14.0,-1.0,,641760,,3600
53176,16,1782045101175,3,51.2365918,6.7703316,6.833,87.0,0.044420328,NR,262,1,262-01,SECONDARY,,,,25,,,,,,-140.0,-20.0,,,,,-101.0,-12.0,5.0,,641760,,3600
53177,16,1782045103338,4,51.2365965,6.7703279,6.7,87.0,0.056442775,LTE,262,1,262-01,PRIMARY,49771276,,13621,357,194419,,,,-105,-104.0,-17.0,-5.0,6,,,,,,0,1300,20000,1800
