Datum,VerbTyp,Lat,Lon,Download-Geschwindigkeit,BytesDownload,Upload-Geschwindigkeit,BytesUpload,Latenz,Server,Interne IP,Externe IP,URL
"23.05.2026, 18:45",Nr,51.2198598,6.7653405,54.218352,54193628,5.144024,6608784,31,Düsseldorf,2a01:599:603:4e1:ddaf:be39:a927:cd56,2a01:599:603:4e1:ddaf:be39:a927:cd56,https://www.speedtest.net/my-result/a/11636766257
"23.05.2026, 18:37",Nr,51.2225605,6.768083,2.880552,4610026,5.28684,8453760,38,Düsseldorf,2a01:599:603:4e1:ddaf:be39:a927:cd56,2a01:599:603:4e1:ddaf:be39:a927:cd56,https://www.speedtest.net/my-result/a/11636753159
"23.05.2026, 18:31",Nr,51.2247392,6.7698304,1.421264,2831996,2.148056,3619980,35,Düsseldorf,2a01:599:603:4e1:ddaf:be39:a927:cd56,2a01:599:603:4e1:ddaf:be39:a927:cd56,https://www.speedtest.net/my-result/a/11636741849
"23.05.2026, 18:24",Nr,51.2271444,6.7707536,13.976744,20900200,16.3762,27927396,25,Düsseldorf,2a01:599:603:4e1:ddaf:be39:a927:cd56,2a01:599:603:4e1:ddaf:be39:a927:cd56,https://www.speedtest.net/my-result/a/11636728419
"23.05.2026, 18:18",Nr,51.2289842,6.7707191,2.195312,3645886,1.102456,2012052,40,Düsseldorf,2a01:599:603:4e1:ddaf:be39:a927:cd56,2a01:599:603:4e1:ddaf:be39:a927:cd56,https://www.speedtest.net/my-result/a/11636719390
"23.05.2026, 18:11",Nr,51.231757,6.7711137,0.85108,1477984,2.987048,4641000,30,Düsseldorf,2a01:599:603:4e1:ddaf:be39:a927:cd56,2a01:599:603:4e1:ddaf:be39:a927:cd56,https://www.speedtest.net/my-result/a/11636706484
"23.05.2026, 18:01",Nr,51.2366118,6.7702739,25.130392,29624544,1.882992,2686068,24,Düsseldorf,2a01:599:603:4e1:ddaf:be39:a927:cd56,2a01:599:603:4e1:ddaf:be39:a927:cd56,https://www.speedtest.net/my-result/a/11636687809
"23.05.2026, 17:53",Nr,51.2365528,6.7703877,16.14096,21562924,6.16788,10725708,26,Düsseldorf,2a01:599:603:4e1:ddaf:be39:a927:cd56,2a01:599:603:4e1:ddaf:be39:a927:cd56,https://www.speedtest.net/my-result/a/11636672378
"23.05.2026, 17:14",Lte,51.2252163,6.7699554,1.34272,1757627,1.01972,1146684,32,Dusseldorf,2a01:599:603:4e1:ddaf:be39:a927:cd56,2a01:599:603:4e1:ddaf:be39:a927:cd56,https://www.speedtest.net/my-result/a/11636598834
"23.05.2026, 17:02",Lte,51.2252102,6.7699532,1.044144,1312679,2.087072,1996344,53,Düsseldorf,2a01:599:603:4e1:ddaf:be39:a927:cd56,2a01:599:603:4e1:ddaf:be39:a927:cd56,https://www.speedtest.net/my-result/a/-1
"23.05.2026, 14:47",Nr,51.2262817,6.7728572,141.878272,224739712,7.013416,8001084,18,Hamburg,2a01:599:603:4e1:ddaf:be39:a927:cd56,2a01:599:603:4e1:ddaf:be39:a927:cd56,https://www.speedtest.net/my-result/a/11636321994
